OBJECTID,BOEM Lease Number,Project Name,Project Phase Number,Developer Name,Wind Turbine Identifier,Maximum Height (m),Maximum Megawatts,Maximum Rotor Diameter (m),Wind Turbine Model,Depth (m),Configuration Option Number,Installation Status,Notes,Longitude (NAD83),Latitude (NAD83),Northing,Easting,UTM Zone,Alternate location,x,y
4831,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B43,266,12,220,8-12 MW,,1,Proposed,,-70.97279134,41.16262484,4558686.092,334489.267,19N,,-7900655.044,5036359.719
4832,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B50,266,12,220,8-12 MW,,1,Proposed,,-71.0806614,41.12753733,4555001.403,325345.6787,19N,,-7912663.087,5031172.882
4833,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B33,266,12,220,8-12 MW,,1,Proposed,,-71.19129224,41.15880802,4558701.009,316145.9356,19N,,-7924978.46,5035795.359
4834,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B60,266,12,220,8-12 MW,,1,Proposed,,-71.03753053,41.11133014,4553116.437,328924.2709,19N,,-7907861.78,5028777.981
4835,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B69,266,12,220,8-12 MW,,1,Proposed,,-71.03530283,41.09505628,4551305.321,329069.1131,19N,,-7907613.793,5026373.821
4836,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B71,266,12,220,8-12 MW,,1,Proposed,,-70.99229253,41.09668822,4551403.011,332685.5942,19N,,-7902825.906,5026614.884
4837,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B76,266,12,220,8-12 MW,,1,Proposed,,-71.01455603,41.07884331,4549464.852,330769.981,19N,,-7905304.269,5023979.25
4838,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B51,266,12,220,8-12 MW,,1,Proposed,,-71.03706011,41.12752609,4554913.61,329005.83,19N,,-7907809.413,5031171.222
4839,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B77,266,12,220,8-12 MW,,1,Proposed,,-70.99038193,41.07910804,4549447.584,332801.4786,19N,,-7902613.219,5024018.344
4840,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B58,266,12,220,8-12 MW,,1,Proposed,,-70.83977851,41.13144308,4554979.809,345575.979,19N,,-7885848.118,5031750.116
